firstavg5,secondavg30,thirdavg100,forthavg200
5083,5662,5533,4937
5185,5698,5534,4932
5293,5728,5536,4927
5336,5749,5537,4921
5344,5763,5535,4914
5386,5779,5536,4908
5455,5783,5534,4902
5534,5787,5533,4895
5656,5796,5531,4888
5712,5804,5529,4882
5794,5815,5526,4875
5835,5814,5520,4867
5855,5808,5513,4860
5869,5794,5503,4853
5920,5794,5497,4847
5923,5788,5488,4840
5870,5782,5477,4833
5845,5778,5467,4826
5792,5765,5455,4818
5774,5757,5445,4812
5814,5750,5436,4805
5846,5753,5428,4799
5910,5754,5417,4792
5964,5759,5407,4785
5988,5760,5397,4779
5971,5753,5384,4773
6000,5754,5372,4768
5934,5744,5357,4764
5879,5731,5343,4760
5842,5715,5329,4757
5784,5699,5313,4754
5695,5684,5297,4752
5642,5672,5281,4751
5617,5658,5265,4750
5591,5649,5249,4748
5605,5644,5234,4747
5639,5642,5219,4745
5664,5639,5205,4744
5648,5633,5192,4741
5647,5629,5178,4738
5631,5626,5163,4737
5645,5622,5149,4735
5671,5622,5137,4733
5692,5625,5127,4733
5701,5622,5115,4732
5697,5619,5102,4732
5691,5607,5089,4730
5702,5596,5076,4730
5753,5587,5064,4731
5792,5578,5052,4731
5832,5565,5042,4733
5856,5549,5031,4733
5852,5529,5019,4732
5796,5507,5007,4731
5717,5483,4993,4729
5645,5464,4981,4727
5577,5442,4967,4725
5501,5421,4953,4723
5441,5403,4940,4724
5446,5392,4929,4726
5457,5380,4917,4728
5443,5362,4907,4729
5444,5347,4897,4732
5467,5344,4888,4735
5474,5335,4877,4737
5495,5324,4867,4738
5521,5312,4856,4740
5565,5302,4845,4742
5601,5290,4833,4744
5601,5276,4821,4746
5587,5256,4806,4748
5557,5237,4789,4750
5515,5219,4770,4751
5460,5205,4751,4751
5441,5192,4731,4752
5375,5182,4710,4752
5341,5177,4690,4752
5300,5171,4670,4753
5275,5165,4653,4754
5221,5156,4634,4756
5224,5153,4618,4759
5211,5147,4600,4762
5203,5142,4582,4767
5174,5136,4564,4771
5172,5130,4548,4776
5141,5121,4531,4780
5097,5109,4515,4785
5058,5099,4502,4789
5087,5091,4489,4795
5102,5082,4475,4798
5121,5077,4462,4803
5146,5072,4451,4807
5170,5065,4438,4813
5145,5049,4424,4817
5118,5034,4411,4821
5088,5018,4398,4826
5072,5004,4386,4832
5068,4986,4375,4837
5086,4972,4364,4842
5100,4952,4353,4847
5142,4931,4341,4852
5194,4908,4330,4858
5224,4877,4317,4864
5224,4843,4305,4869
5221,4810,4293,4874
5203,4773,4281,4878
5163,4732,4269,4882
5130,4695,4257,4886
5099,4664,4245,4890
5069,4634,4235,4896
5032,4605,4224,4901
4981,4578,4215,4908
4943,4557,4208,4914
4903,4539,4202,4921
4883,4520,4198,4928
4877,4501,4192,4935
4880,4490,4190,4943
4856,4474,4185,4950
4836,4462,4182,4957
4811,4449,4179,4964
4769,4438,4175,4970
4733,4430,4170,4975
4695,4426,4167,4981
4682,4423,4163,4985
4627,4415,4161,4989
4561,4410,4162,4995
4498,4403,4164,5000
4418,4399,4171,5006
4317,4387,4178,5012
4251,4382,4186,5018
4196,4379,4195,5026
4138,4384,4208,5033
4130,4393,4220,5041
4146,4402,4234,5048
4163,4409,4247,5054
4197,4421,4259,5061
4238,4432,4271,5068
4302,4438,4282,5076
4350,4439,4290,5083
4385,4440,4299,5090
4406,4436,4310,5096
4456,4422,4321,5104
4446,4397,4329,5109
4441,4372,4338,5115
4455,4343,4350,5120
4499,4311,4362,5126
4520,4277,4371,5131
4569,4245,4384,5136
4601,4216,4397,5141
4612,4185,4410,5146
4601,4152,4423,5150
4569,4112,4435,5154
4533,4072,4445,5159
4467,4033,4454,5164
4427,4000,4465,5169
4376,3965,4474,5173
4381,3937,4484,5178
4379,3916,4493,5183
4407,3900,4509,5188
4414,3880,4523,5193
4448,3863,4538,5197
4426,3841,4551,5200
4401,3818,4566,5204
4369,3797,4582,5206
4349,3782,4596,5209
4284,3761,4610,5212
4181,3747,4624,5215
4056,3735,4640,5220
3947,3725,4655,5224
3801,3716,4671,5230
3656,3706,4689,5235
3586,3706,4710,5241
3531,3711,4731,5250
3508,3718,4751,5258
3510,3734,4772,5267
3548,3752,4794,5276
3531,3771,4814,5284
3531,3791,4835,5293
3501,3804,4856,5300
3499,3822,4877,5308
3479,3837,4900,5315
3516,3864,4925,5323
3599,3895,4952,5330
3670,3927,4978,5337
3705,3961,5003,5343
3765,3992,5030,5350
3806,4024,5055,5357
3791,4043,5077,5362
3790,4066,5100,5366
3825,4095,5122,5370
3833,4119,5143,5374
3860,4138,5164,5378
3904,4159,5187,5383
3937,4178,5209,5388
3954,4201,5232,5392
3954,4231,5255,5397
3936,4263,5277,5402
3912,4305,5298,5407
3901,4351,5320,5411
3909,4394,5341,5415
3937,4442,5364,5421
3976,4502,5387,5426
4010,4554,5411,5431
4028,4608,5433,5436
4043,4655,5454,5441
4057,4701,5475,5445
4091,4739,5495,5448
4153,4780,5514,5452
4235,4815,5536,5455
4331,4848,5557,5457
4408,4893,5578,5460
4474,4931,5600,5461
4490,4962,5621,5461
4503,4994,5640,5463
4508,5028,5658,5463
4527,5066,5677,5464
4493,5096,5696,5464
4488,5136,5715,5464
4466,5180,5733,5464
4462,5220,5749,5464
4503,5264,5764,5463
4607,5312,5779,5463
4776,5354,5794,5463
4972,5394,5807,5462
5112,5427,5817,5460
5224,5451,5827,5457
5372,5469,5836,5454
5406,5475,5842,5448
5442,5490,5846,5442
5475,5507,5851,5436
5487,5523,5857,5430
5398,5528,5858,5422
5370,5546,5862,5414
5269,5562,5861,5406
5200,5574,5861,5398
5208,5589,5862,5391
5243,5610,5865,5384
5242,5629,5869,5378
5313,5656,5876,5374
5411,5682,5882,5370
5448,5701,5883,5365
5465,5720,5886,5360
5536,5738,5890,5355
5619,5748,5891,5351
5663,5749,5890,5345
5717,5751,5890,5340
5791,5753,5891,5336
5792,5749,5888,5330
5746,5745,5885,5323
5701,5740,5881,5317
5621,5741,5876,5310
5546,5746,5874,5304
5506,5762,5873,5298
5553,5778,5873,5294
5596,5793,5873,5290
5659,5818,5872,5286
5729,5840,5872,5282
5831,5861,5872,5279
5872,5871,5868,5273
5875,5874,5863,5267
5883,5880,5856,5262
5889,5883,5849,5257
5870,5887,5841,5251
5832,5888,5830,5244
5845,5899,5821,5238
5876,5911,5814,5233
5901,5923,5806,5227
5894,5931,5799,5221
5863,5941,5794,5216
5818,5949,5788,5209
5748,5954,5780,5203
5661,5963,5772,5197
5602,5977,5768,5191
5605,5993,5765,5187
5604,6008,5761,5182
5662,6022,5758,5178
5750,6039,5754,5174
5868,6056,5750,5170
5944,6071,5744,5165
6023,6089,5739,5160
6079,6099,5730,5154
6110,6116,5721,5147
6102,6124,5708,5139
6107,6134,5695,5132
6079,6146,5684,5124
6031,6152,5671,5116
5987,6162,5659,5108
5986,6170,5647,5101
5975,6176,5632,5092
6025,6185,5618,5086
6070,6190,5605,5078
6131,6190,5593,5071
6133,6184,5580,5063
6149,6170,5567,5055
6147,6154,5553,5047
6134,6140,5540,5039
6137,6125,5527,5031
6172,6117,5515,5025
6177,6106,5502,5018
6172,6093,5490,5011
6159,6086,5478,5006
6119,6070,5465,5000
6073,6055,5451,4994
6075,6034,5439,4988
6087,6010,5427,4982
6125,5992,5414,4976
6210,5975,5402,4971
6275,5964,5389,4966
6323,5949,5374,4960
6369,5931,5358,4955
6392,5909,5341,4948
6386,5883,5321,4941
6378,5859,5302,4933
6360,5830,5285,4925
6312,5799,5267,4916
6263,5775,5250,4908
6156,5746,5231,4899
6075,5714,5212,4889
5937,5686,5196,4880
5835,5660,5179,4873
5765,5638,5162,4866
5740,5628,5147,4859
5728,5617,5131,4852
5764,5615,5118,4847
5786,5613,5103,4841
5814,5601,5087,4835
5811,5589,5072,4828
5801,5575,5054,4821
5746,5563,5038,4815
5673,5548,5021,4808
5595,5521,5003,4801
5548,5500,4986,4794
5526,5478,4967,4787
5566,5458,4951,4781
5614,5443,4936,4775
5624,5428,4919,4769
5658,5414,4903,4763
5645,5396,4887,4757
5606,5381,4872,4750
5576,5370,4858,4745
5588,5358,4847,4739
5565,5340,4833,4734
5510,5333,4820,4729
5500,5328,4811,4724
5478,5322,4801,4719
5442,5309,4790,4713
5445,5297,4780,4708
5494,5289,4772,4703
5512,5274,4761,4697
5554,5268,4753,4692
5542,5255,4743,4686
5508,5237,4733,4680
5476,5209,4723,4674
5447,5185,4714,4669
5395,5163,4706,4664
5337,5147,4700,4660
5274,5130,4693,4655
5216,5112,4685,4651
5118,5084,4678,4646
5040,5057,4671,4641
5035,5043,4668,4639
5032,5028,4665,4636
5036,5015,4661,4634
5105,5010,4658,4633
5177,5004,4655,4631
5205,4997,4652,4628
5215,4992,4648,4625
5264,4982,4643,4620
5284,4968,4637,4614
5286,4955,4631,4609
5294,4944,4625,4603
5308,4938,4621,4599
5250,4922,4615,4593
5181,4908,4608,4587
5155,4893,4603,4581
5116,4877,4598,4576
5087,4864,4594,4571
5011,4851,4590,4567
4973,4837,4587,4563
4924,4818,4582,4559
4895,4802,4578,4555
4862,4781,4573,4551
4897,4773,4571,4549
4845,4767,4568,4546
4762,4757,4565,4542
4717,4748,4561,4539
4665,4737,4558,4536
4635,4720,4554,4534
4674,4722,4553,4533
4722,4720,4553,4533
4758,4713,4551,4532
4813,4704,4549,4531
4836,4689,4546,4531
4852,4673,4542,4530
4878,4653,4540,4530
4887,4631,4538,4529
4895,4608,4536,4529
4905,4582,4534,4528
4924,4558,4534,4528
4914,4532,4533,4528
4893,4503,4534,4528
4860,4473,4535,4528
4823,4439,4536,4528
4756,4406,4536,4529
4706,4373,4537,4530
4661,4341,4539,4531
4592,4311,4540,4532
4543,4291,4543,4532
4549,4277,4547,4534
4561,4266,4552,4535
4576,4261,4556,4537
4596,4258,4562,4539
4580,4251,4564,4542
4578,4249,4565,4544
4541,4245,4565,4547
4503,4242,4565,4549
4468,4241,4566,4554
4447,4245,4566,4558
4377,4238,4565,4562
4317,4241,4567,4566
4270,4241,4569,4570
4235,4249,4571,4575
4196,4257,4573,4580
4162,4271,4576,4586
4150,4290,4580,4591
4118,4310,4582,4597
4089,4326,4585,4602
4044,4344,4588,4608
4013,4362,4592,4614
3965,4380,4595,4620
3920,4406,4599,4627
3886,4431,4602,4634
3937,4459,4607,4641
3983,4482,4611,4648
4062,4507,4614,4655
4179,4537,4619,4663
4275,4566,4624,4671
4303,4584,4627,4676
4382,4599,4629,4681
4437,4611,4631,4686
4461,4620,4632,4690
4497,4632,4635,4695
4543,4648,4638,4700
4512,4653,4637,4704
4513,4661,4636,4709
4503,4668,4636,4714
4514,4677,4635,4719
4519,4684,4635,4724
4575,4693,4633,4729
4615,4697,4631,4735
4678,4702,4629,4740
4695,4703,4626,4746
4720,4704,4626,4751
4708,4698,4624,4755
4691,4691,4622,4759
4697,4684,4619,4763
4719,4680,4618,4769
4732,4675,4616,4774
4733,4669,4614,4779
4727,4665,4612,4784
4706,4654,4610,4788
4698,4642,4608,4793
4686,4631,4607,4798
4685,4624,4607,4803
4686,4622,4607,4808
4678,4619,4605,4813
4671,4616,4601,4818
4690,4619,4597,4823
4708,4623,4591,4829
4733,4629,4587,4834
4748,4641,4581,4839
4763,4651,4576,4844
4759,4660,4570,4849
4747,4666,4565,4854
4732,4672,4560,4858
4708,4679,4554,4863
4670,4684,4548,4867
4634,4692,4543,4872
4607,4706,4539,4877
4579,4718,4536,4882
4569,4729,4533,4888
4557,4743,4529,4894
4547,4750,4526,4901
4535,4755,4523,4907
4531,4758,4520,4915
4517,4760,4516,4922
4493,4763,4514,4929
4468,4762,4514,4937
4461,4762,4513,4945
4469,4767,4513,4952
4495,4772,4512,4960
4540,4776,4513,4968
4614,4781,4516,4976
4680,4784,4518,4984
4732,4785,4519,4991
4810,4779,4520,4998
4883,4773,4522,5006
4938,4761,4522,5013
4969,4752,4522,5019
4988,4740,4523,5026
4977,4718,4522,5031
4963,4698,4521,5037
4954,4675,4520,5042
4983,4655,4521,5047
5011,4632,4523,5053
5009,4610,4523,5058
5025,4591,4523,5064
4980,4573,4522,5069
4903,4548,4521,5074
4818,4530,4519,5078
4754,4516,4518,5083
4677,4501,4516,5088
4619,4495,4519,5093
4577,4489,4524,5099
4587,4484,4528,5105
4587,4478,4534,5111
4569,4474,4541,5118
4584,4473,4550,5124
4594,4466,4559,5131
4576,4453,4565,5137
4539,4442,4571,5144
4520,4435,4580,5150
4490,4432,4587,5157
4485,4433,4596,5164
4458,4431,4603,5170
4446,4433,4611,5177
4435,4435,4619,5184
4425,4438,4627,5192
4389,4436,4635,5199
4345,4436,4645,5206
4328,4444,4655,5214
4319,4450,4666,5220
4344,4460,4676,5228
4341,4470,4685,5235
4398,4481,4696,5243
4441,4490,4707,5251
4488,4490,4717,5258
4508,4481,4725,5265
4553,4475,4734,5273
4540,4463,4742,5279
4530,4450,4749,5286
4512,4437,4755,5293
4487,4424,4762,5300
4436,4412,4771,5308
4401,4405,4781,5316
4366,4394,4791,5325
4334,4385,4802,5334
4337,4378,4813,5343
4395,4379,4825,5353
4444,4381,4838,5362
4486,4382,4852,5372
4520,4379,4865,5382
4530,4371,4876,5391
4505,4360,4886,5400
4491,4350,4896,5409
4515,4341,4907,5419
4524,4335,4919,5428
4553,4333,4932,5437
4594,4332,4944,5446
4614,4333,4956,5455
4603,4327,4966,5463
4562,4325,4978,5472
4473,4325,4989,5481
4366,4325,4999,5490
4291,4331,5010,5500
4204,4336,5021,5509
4171,4351,5034,5520
4166,4371,5050,5532
4178,4393,5066,5544
4188,4416,5082,5557
4194,4442,5097,5569
4201,4465,5112,5582
4212,4494,5128,5595
4239,4521,5143,5607
4257,4549,5157,5619
4289,4577,5172,5632
4296,4601,5187,5645
4295,4623,5200,5658
4277,4643,5214,5672
4257,4662,5228,5685
4241,4679,5244,5700
4257,4700,5259,5714
4298,4727,5275,5727
4339,4757,5292,5741
4388,4787,5310,5755
4431,4818,5327,5768
4465,4853,5343,5781
4509,4884,5360,5791
4554,4915,5376,5802
4602,4941,5392,5812
4658,4968,5408,5824
4716,4998,5424,5836
4747,5020,5436,5844
4774,5046,5449,5851
4805,5063,5462,5859
4837,5081,5476,5866
4858,5095,5490,5872
4901,5111,5503,5880
4945,5128,5516,5889
4982,5146,5528,5897
5008,5163,5541,5905
5013,5182,5553,5913
4986,5192,5563,5921
4971,5202,5573,5929
4935,5211,5583,5937
4903,5223,5593,5946
4895,5238,5604,5954
4921,5250,5616,5963
4961,5260,5627,5973
5009,5273,5638,5983
5075,5285,5649,5993
5172,5297,5659,6002
5241,5305,5668,6011
5288,5316,5675,6020
5313,5327,5682,6028
5328,5337,5689,6036
5336,5343,5694,6043
5326,5348,5699,6049
5336,5353,5703,6056
5337,5365,5710,6063
5335,5377,5716,6068
5300,5385,5721,6071
5293,5394,5727,6075
5269,5398,5732,6078
5301,5408,5738,6081
5327,5421,5744,6084
5374,5437,5750,6087
5387,5453,5756,6090
5387,5465,5762,6092
5370,5473,5767,6095
5371,5483,5773,6098
5350,5492,5775,6099
5333,5504,5780,6099
5320,5515,5784,6100
5310,5527,5790,6103
5273,5535,5794,6104
5249,5547,5799,6107
5249,5563,5805,6110
5294,5580,5811,6113
5331,5596,5817,6116
5388,5612,5824,6120
5446,5628,5830,6124
5504,5644,5838,6127
5514,5651,5845,6130
5543,5658,5852,6131
5567,5664,5858,6132
5592,5668,5865,6132
5597,5670,5872,6134
5603,5677,5880,6136
5590,5681,5886,6138
5601,5688,5893,6139
5612,5695,5900,6139
5647,5703,5907,6139
5672,5715,5915,6139
5693,5731,5923,6139
5696,5741,5930,6139
5704,5749,5937,6138
5694,5759,5942,6137
5690,5773,5948,6136
5692,5786,5954,6137
5686,5799,5960,6137
5679,5809,5966,6136
5689,5817,5974,6136
5710,5827,5982,6137
5727,5839,5990,6137
5736,5855,5998,6137
5735,5869,6006,6136
5732,5882,6014,6136
5718,5892,6023,6135
5705,5905,6032,6135
5699,5920,6042,6135
5685,5935,6052,6135
5662,5943,6061,6134
5668,5955,6071,6134
5679,5968,6081,6133
5712,5980,6091,6133
5755,5992,6103,6132
5796,6007,6116,6130
5830,6018,6130,6129
5888,6026,6142,6127
5918,6031,6156,6124
5937,6032,6168,6121
5982,6034,6179,6118
6019,6033,6191,6116
6028,6027,6200,6112
6047,6024,6209,6109
6067,6022,6218,6106
6044,6014,6223,6102
6020,6005,6228,6098
6005,6000,6233,6094
6016,5995,6240,6091
6038,5990,6248,6087
6076,5990,6252,6085
6098,5988,6253,6081
6128,5983,6255,6078
6131,5974,6255,6074
6132,5963,6255,6070
6100,5955,6258,6066
6098,5949,6262,6063
6078,5943,6265,6060
6057,5935,6269,6057
6026,5921,6272,6054
6045,5915,6279,6053
6045,5906,6285,6052
6031,5899,6291,6051
6020,5892,6298,6049
5991,5888,6304,6048
5956,5880,6311,6047
5917,5874,6319,6046
5892,5869,6328,6045
5872,5866,6336,6044
5880,5867,6346,6044
5864,5873,6355,6044
5853,5882,6364,6044
5866,5892,6374,6044
5874,5902,6382,6044
5875,5912,6391,6044
5898,5927,6400,6044
5918,5943,6409,6044
5904,5954,6416,6044
5893,5967,6420,6044
5877,5980,6421,6044
5868,5992,6422,6044
5865,6008,6424,6044
5889,6025,6423,6044
5894,6040,6423,6044
5878,6059,6425,6044
5856,6073,6423,6045
5839,6086,6423,6046
5813,6095,6423,6046
5801,6107,6422,6047
5824,6128,6422,6049
5840,6151,6418,6051
5853,6173,6415,6053
5853,6194,6416,6053
5863,6214,6414,6054
5871,6238,6414,6054
5910,6261,6414,6054
5965,6286,6414,6053
6030,6312,6416,6053
6087,6340,6417,6053
6149,6366,6418,6052
6191,6388,6417,6051
6218,6404,6414,6049
6236,6422,6411,6046
6267,6441,6405,6044
6284,6460,6399,6041
6287,6483,6395,6038
6306,6509,6392,6035
6329,6535,6389,6033
6330,6562,6384,6031
6346,6588,6378,6029
6355,6611,6371,6027
6333,6634,6363,6025
6307,6653,6355,6023
6298,6672,6348,6020
6294,6687,6339,6018
6322,6694,6331,6016
6366,6704,6325,6014
6410,6715,6320,6014
6441,6734,6314,6012
6481,6749,6307,6011
6501,6745,6298,6008
6529,6731,6291,6005
6561,6722,6284,6002
6616,6712,6276,5999
6642,6697,6267,5995
6669,6694,6258,5991
6674,6690,6248,5987
6688,6685,6238,5983
6692,6677,6228,5978
6713,6670,6218,5974
6766,6670,6208,5970
6849,6671,6197,5967
6914,6670,6186,5962
6997,6668,6174,5958
7052,6662,6161,5953
7054,6657,6144,5948
7053,6649,6128,5942
7037,6646,6111,5937
6991,6632,6092,5932
6937,6624,6074,5926
6854,6618,6058,5921
6755,6611,6041,5916
6682,6608,6024,5911
6667,6601,6009,5907
6671,6599,5994,5903
6629,6604,5981,5900
6529,6609,5968,5897
6452,6610,5956,5895
6310,6595,5941,5892
6169,6568,5927,5888
6193,6557,5917,5887
6279,6559,5910,5888
6339,6544,5901,5887
6406,6535,5894,5886
6480,6530,5886,5885
6524,6506,5874,5883
6559,6485,5864,5881
6596,6467,5854,5878
6638,6448,5845,5875
6664,6423,5836,5872
6686,6378,5827,5868
6718,6340,5819,5864
6769,6315,5810,5860
6783,6281,5801,5856
6824,6255,5793,5853
6825,6224,5783,5848
6829,6191,5773,5843
6809,6160,5761,5837
6803,6136,5752,5833
6788,6109,5742,5828
6770,6080,5733,5824
6738,6049,5723,5819
6694,6014,5714,5815
6630,5977,5706,5812
6484,5938,5697,5809
6344,5911,5689,5806
6234,5887,5680,5803
6058,5866,5672,5801
5948,5847,5668,5799
5940,5837,5667,5800
5887,5821,5666,5800
5832,5804,5663,5800
5875,5798,5665,5802
5884,5790,5665,5804
5837,5773,5664,5805
5758,5766,5666,5808
5691,5759,5668,5809
5681,5751,5670,5811
5640,5746,5672,5812
5659,5742,5676,5814
5762,5752,5684,5819
5825,5759,5690,5822
5845,5755,5691,5823
5908,5754,5694,5826
5949,5746,5694,5827
5960,5739,5694,5828
5973,5733,5693,5829
5933,5721,5691,5829
5849,5711,5689,5829
5762,5700,5686,5829
5754,5691,5685,5829
5769,5681,5683,5830
5803,5673,5681,5831
5855,5670,5682,5834
5877,5667,5683,5835
5807,5648,5681,5836
5731,5629,5678,5836
5651,5606,5677,5836
5605,5588,5677,5837
5554,5573,5679,5839
5554,5567,5683,5841
5565,5559,5686,5843
5596,5550,5690,5845
5621,5542,5693,5847
5652,5536,5697,5850
5673,5527,5701,5852
5691,5514,5704,5853
5701,5503,5707,5853
5685,5491,5711,5853
5682,5483,5715,5854
5686,5474,5717,5854
5666,5460,5718,5854
5640,5446,5719,5854
5651,5436,5722,5854
5673,5427,5723,5855
5671,5416,5724,5855
5663,5408,5726,5856
5646,5405,5727,5857
5606,5401,5729,5857
5567,5397,5731,5858
5494,5401,5733,5860
5456,5408,5736,5861
5405,5416,5739,5863
5361,5425,5743,5865
5313,5436,5746,5867
5324,5454,5752,5871
5312,5466,5757,5873
5314,5482,5764,5876
5328,5500,5771,5879
5329,5519,5779,5883
5315,5535,5785,5885
5293,5551,5791,5888
5314,5572,5798,5891
5316,5592,5805,5893
5336,5612,5812,5897
5353,5631,5819,5900
5367,5649,5827,5903
5357,5664,5834,5906
5354,5683,5842,5909
5344,5702,5850,5912
5339,5720,5858,5915
5359,5739,5866,5919
5395,5756,5872,5922
5440,5773,5879,5926
5495,5792,5885,5930
5584,5812,5892,5935
5662,5835,5897,5939
5713,5854,5901,5942
5749,5871,5904,5945
5799,5889,5907,5948
5810,5901,5909,5950
5801,5911,5910,5952
5800,5918,5911,5954
5815,5925,5912,5957
5810,5925,5912,5960
5810,5924,5912,5962
5826,5925,5912,5964
5856,5927,5913,5967
5875,5925,5913,5969
5885,5923,5913,5971
5890,5921,5915,5972
5881,5915,5916,5974
5863,5905,5917,5976
5865,5898,5918,5977
5877,5892,5921,5978
5887,5883,5923,5980
5905,5882,5927,5982
5911,5882,5929,5985
5893,5878,5931,5987
5884,5877,5933,5989
5890,5877,5935,5992
5933,5879,5937,5995
5984,5882,5939,5997
6030,5882,5943,6000
6079,5884,5947,6002
6117,5884,5949,6004
6119,5878,5950,6006
6093,5875,5951,6006
6074,5875,5952,6008
6017,5872,5953,6008
5953,5862,5953,6009
5886,5853,5954,6010
5855,5850,5956,6013
5811,5846,5957,6015
5797,5842,5960,6017
5793,5842,5962,6020
5769,5843,5965,6023
5725,5841,5967,6026
5716,5843,5969,6029
5698,5847,5971,6031
5662,5850,5974,6033
5680,5857,5977,6036
5723,5866,5981,6039
5745,5871,5985,6041
5790,5876,5988,6044
5849,5885,5991,6047
5887,5890,5994,6049
5913,5896,5996,6050
5920,5902,5998,6052
5923,5906,5999,6052
5929,5907,5999,6053
5926,5908,6000,6054
5942,5911,6000,6054
5983,5915,6002,6056
6007,5918,6002,6057
5986,5921,6003,6058
5969,5924,6002,6059
5942,5926,5999,6059
5901,5928,5996,6060
5838,5932,5992,6060
5833,5944,5991,6062
5826,5952,5989,6063
5799,5955,5988,6064
5796,5960,5987,6065
5824,5968,5987,6066
5839,5973,5986,6068
5855,5980,5986,6068
5877,5984,5986,6069
5882,5985,5986,6070
5876,5986,5986,6070
5874,5988,5987,6070
5876,5990,5987,6071
5903,5990,5988,6072
5931,5990,5988,6073
5965,5990,5989,6075
5983,5988,5990,6076
5999,5985,5990,6077
6000,5979,5989,6077
5997,5973,5987,6078
5999,5968,5987,6078
6010,5969,5986,6078
6019,5969,5985,6078
6037,5969,5984,6077
6060,5970,5982,6076
6091,5974,5981,6074
6123,5977,5980,6073
6135,5981,5980,6071
6114,5979,5978,6069
6094,5980,5976,6067
6049,5978,5974,6065
6012,5976,5972,6063
5997,5977,5972,6060
5974,5980,5973,6059
5947,5987,5974,6058
5932,5997,5976,6058
5926,6004,5977,6057
5914,6010,5980,6056
5911,6020,5983,6056
5911,6032,5987,6056
5906,6041,5990,6056
5876,6049,5992,6056
5849,6056,5995,6057
5840,6067,5998,6058
5831,6076,6002,6059
5832,6083,6007,6060
5868,6092,6012,6061
5902,6099,6016,6062
5938,6105,6021,6064
5980,6112,6024,6065
6031,6116,6028,6066
6060,6117,6030,6067
6089,6118,6032,6067
6100,6119,6034,6068
6115,6120,6035,6069
6118,6114,6036,6069
6113,6109,6036,6069
6110,6106,6038,6070
6119,6104,6041,6071
6138,6101,6043,6073
6160,6097,6046,6074
6180,6093,6049,6074
6198,6090,6052,6075
6214,6085,6055,6076
6216,6077,6057,6076
6197,6069,6058,6076
6197,6062,6060,6076
6189,6051,6061,6077
6191,6035,6062,6078
6177,6019,6063,6079
6161,6004,6064,6081
6135,5987,6065,6082
6105,5972,6067,6084
6069,5956,6069,6085
6045,5943,6072,6087
6031,5932,6075,6090
6020,5922,6078,6093
6019,5914,6082,6095
6024,5907,6085,6098
6026,5899,6089,6101
6019,5895,6091,6104
6012,5893,6093,6107
6012,5891,6095,6111
6011,5887,6097,6115
6005,5882,6098,6118
6013,5880,6100,6122
6015,5881,6102,6126
6015,5878,6104,6129
6002,5872,6104,6132
5995,5868,6106,6136
5994,5865,6106,6138
5992,5863,6107,6141
5968,5859,6107,6143
5914,5855,6108,6145
5867,5851,6110,6147
5805,5847,6111,6150
5748,5846,6113,6153
5715,5848,6116,6157
5719,5856,6120,6162
5721,5862,6124,6166
5730,5871,6128,6171
5748,5883,6133,6175
5757,5894,6137,6179
5772,5905,6140,6184
5780,5918,6142,6188
5811,5930,6146,6193
5845,5943,6149,6197
5880,5959,6151,6202
5905,5973,6152,6206
5924,5988,6154,6209
5929,5998,6154,6212
5937,6006,6154,6215
5933,6014,6155,6218
5924,6023,6156,6221
5920,6037,6158,6225
5924,6051,6161,6228
5911,6062,6162,6231
5900,6073,6164,6233
5900,6086,6166,6236
5893,6097,6168,6239
5884,6105,6169,6242
5890,6115,6169,6245
5905,6126,6170,6248
5918,6136,6170,6251
5935,6147,6170,6254
5950,6156,6167,6257
5968,6164,6166,6260
5991,6175,6163,6262
6015,6189,6161,6264
6054,6203,6159,6266
6084,6219,6156,6268
6112,6231,6153,6270
6146,6243,6148,6272
6178,6255,6146,6274
6205,6263,6142,6275
6216,6270,6140,6278
6219,6278,6136,6280
6208,6281,6133,6282
6204,6284,6129,6284
6216,6287,6125,6287
